# 注記: reference_high の決め方だけを 5 案で比較した検証であり、収益バックテストではない。 WARNING 開始条件は VARIANT A、warning_low 割れ後は CLOSE_BREAK（仮想EXITは翌営業日始値）に固定した研究上の基準であって、いずれも正式ルールではない。 ENTRY ロジック / max_position_in_range=0.65 / initial_stop = range_lower*0.995 / warning_low の定義 / 押し安値の取り方 / trail = 押し安値*0.995 / STOP を下げないこと は5 案で完全に同一。新しい%閾値は追加していない。
section,metric,RH-A 保有中最高値,RH-B 警戒足高値,RH-C 前日までの終値高値,RH-D 警戒足始値,RH-E 前日までの高値,note
§11,WARNING 発生件数,26 件,27 件,27 件,29 件,26 件,
§11,REHIGH_CONFIRMED 件数,7/26 (27%),10/27 (37%),11/27 (41%),14/29 (48%),8/26 (31%),分母は同じ案での WARNING 件数。案によって WARNING の出方自体が変わる
§11,REHIGH した イベント数,7/32 (22%),9/32 (28%),9/32 (28%),11/32 (34%),7/32 (22%),
§11,WARNING → REHIGH までの営業日数 中央値,1.0 日,1.0 日,1.0 日,1.0 日,1.0 日,
§11,決着の内訳: warning_low 終値割れが先,19/26 (73%),17/27 (63%),16/27 (59%),15/29 (52%),18/26 (69%),
§11,決着の内訳: REHIGH が先,4/26 (15%),7/27 (26%),6/27 (22%),9/29 (31%),4/26 (15%),
§11,決着の内訳: 同日に両方成立（順序不明）,3/26 (12%),3/27 (11%),5/27 (19%),5/29 (17%),4/26 (15%),同日成立は日足では先後を決められないので、どちらにも寄せずに分離した（§7）
§11,決着の内訳: どちらにも到達しなかった,0/26 (0%),0/27 (0%),0/27 (0%),0/29 (0%),0/26 (0%),
§12,trail stop を1回以上引き上げたイベント数,6/32 (19%),9/32 (28%),8/32 (25%),11/32 (34%),6/32 (19%),
§12,trail stop を2回以上引き上げたイベント数,0/32 (0%),0/32 (0%),2/32 (6%),2/32 (6%),1/32 (3%),
§12,trail stop 更新の総回数,6 回,9 回,10 回,13 回,7 回,
§12,初回 STOP 引き上げまでの営業日数 中央値,5.0 日,6.0 日,4.0 日,4.0 日,5.0 日,ENTRY 日を 0 とした営業日数。引き上げは翌営業日から有効
§12,initial_stop → 初回 trail stop の引き上げ幅 中央値,+7.28%,+5.88%,+5.55%,+5.22%,+7.28%,
§12,STOP を ENTRY 価格より上へ持ち上げたイベント数,5/32 (16%),5/32 (16%),6/32 (19%),6/32 (19%),5/32 (16%),手数料等を考慮していないので、これがそのまま「損益分岐点より上」の件数（§12 の参考条件 trail_stop > entry_price）
§13,仮想EXITリターン 中央値,-2.69%,-2.42%,-2.69%,-2.54%,-2.69%,
