# A/B/C の横並び比較。違うのは「WARNING へ入る条件」だけ。最も仮想リターンが高い案を採用する、という使い方はしない（§17）。
section,metric,variant_A,variant_B,variant_C,note
前提（3案で同一）,対象イベント数,32,32,32,near.max_position_in_range=0.65 で発生した ENTRY_CANDIDATE。前回と同一
前提（3案で同一）,元レンジ上限を終値突破した件数,22/32 (69%),22/32 (69%),22/32 (69%),突破の判定は 3 案で同じ。ここから先だけが違う
§5 WARNING発生状況,WARNINGが発生した件数,22/22 (100%),16/22 (73%),14/22 (64%),分母は上限を終値突破した件数
§5 WARNING発生状況,警戒足の総本数,31 本,21 本,18 本,前回 exit_study（ENTRY直後からの全陰線）は 175 本
§5 WARNING発生状況,WARNINGが一度も発生しなかった件数,0/22 (0%),6/22 (27%),8/22 (36%),突破したのに警戒足が出ないまま終わった件
§5 WARNING発生状況,うち UPTREND_CONFIRMED が来なかった件数,0/22 (0%),6/22 (27%),8/22 (36%),B/C 固有。A は確認ゲートを持たないので 0
§5 WARNING発生状況,上限突破からWARNINGまでの営業日数（中央値）,1 日,3 日,3 日,1 = 突破の翌営業日
§5 WARNING発生状況,上限突破の翌営業日にWARNINGとなった件数,14/22 (64%),0/22 (0%),0/22 (0%),「ブレイク直後の普通の陰線を警戒足にする」問題の直接の指標
§5 WARNING発生状況,上限突破から3営業日以内のWARNING件数,21/22 (95%),10/22 (45%),8/22 (36%),
§5 WARNING発生状況,WARNING発生時の含み益率（中央値）,+1.00%,+3.17%,+4.23%,最初の警戒足の終値ベース。仮想ENTRY価格（翌営業日始値）基準
§5 WARNING発生状況,WARNING発生時の元レンジ上限からの上昇率（中央値）,-0.87%,+0.54%,+2.42%,警戒足の終値が元レンジ上限からどれだけ上か
§5 WARNING発生状況,WARNING発生時点の最大含み益（中央値）,+5.27%,+6.94%,+7.06%,= reference_high の含み益率。警戒足が出るまでにどこまで伸びていたか
§5 WARNING発生状況,UPTREND_CONFIRMEDまでの営業日数（中央値）,－（Aは確認を挟まない）,1 日,1 日,突破日からの営業日数
§5 WARNING発生状況,UPTREND_CONFIRMEDの日そのものが陰線だった件数,－,4/16 (25%),1/14 (7%),§11。その日は警戒足に使わず、翌営業日以降の最初の陰線を使う
