# ENTRY 後の値動きの集計。勝率・平均利益率だけで戦略を評価しないこと（§12）。 分母が小さいので率は参考程度に留める。
section,metric,value,note
ENTRY,ENTRYイベント数,32,0.65 で発生した ENTRY_CANDIDATE
ENTRY,翌営業日始値が取得できた件数,32/32 (100%),
ENTRY,翌日ギャップ率の中央値,+0.22%,最小 -1.39% / 最大 +3.83%
ENTRY,翌日始値が元レンジ上限を超えていた件数,1/32 (3%),
ENTRY,翌日始値が初期STOP以下だった件数,0/32 (0%),
ENTRY,翌日始値でレンジ内位置が 0.65 を超えた件数,15/32 (47%),現行ガードと同じ位置基準で見た「遅くなった」件数
ENTRY,保有中の重複ENTRY,2/32 (6%),同じポジションへの新規買いとしては処理していない
初期展開,初期STOPへ先に到達,9/32 (28%),
初期展開,レンジ上限へ先に到達,23/32 (72%),
初期展開,日足では先後不明,0/32 (0%),AMBIGUOUS_INTRADAY_ORDER
初期展開,どちらにも到達せず,0/32 (0%),
初期STOP,初期STOP到達（時期を問わず）,31/32 (97%),利確ルールが未確定なので、初期STOP以外にポジションを閉じる機械判定がない。この率を『損切り失敗率』として読まないこと
初期STOP,ENTRYからSTOPまでの営業日数の中央値,6日,最短 0日 / 最長 48日
初期STOP,STOP前に一度でも上限を終値突破していた件数,21/31 (68%),§12 の「上昇後に遅れてSTOP」に該当。単純な損切り失敗ではない
初期STOP,STOP前に +5% 以上の含み益があった件数,12/31 (39%),
初期STOP,STOPを寄りでギャップ割れした件数,10/31 (32%),割れ幅の中央値 -1.94% ／ 日足では STOP 通りに約定できない
レンジ上限,レンジ上限到達率,23/32 (72%),
レンジ上限,高値だけ上限突破（終値は上限以下）,1/32 (3%),
レンジ上限,終値でのレンジ上限突破率,22/32 (69%),
上限突破後の伸び,上限突破後 +3% 到達率,20/22 (91%),分母は終値で上限突破した件。基準は仮想ENTRY価格（翌日始値）
上限突破後の伸び,上限突破後 +5% 到達率,13/22 (59%),分母は終値で上限突破した件。基準は仮想ENTRY価格（翌日始値）
上限突破後の伸び,上限突破後 +10% 到達率,6/22 (27%),分母は終値で上限突破した件。基準は仮想ENTRY価格（翌日始値）
全件の伸び,全件で +3% 到達率,21/32 (66%),基準は仮想ENTRY価格（翌日始値）
全件の伸び,全件で +5% 到達率,13/32 (41%),基準は仮想ENTRY価格（翌日始値）
全件の伸び,全件で +10% 到達率,6/32 (19%),基準は仮想ENTRY価格（翌日始値）
EXIT（参考）,警戒陰線が発生した件数,31/32 (97%),陰線の総数 175 本
EXIT（参考）,警戒陰線安値を割った件数,30/32 (94%),
EXIT（参考）,最初の警戒陰線の安値を割る前に高値更新した件数,8/31 (26%),「高値」は警戒陰線自身の高値で判定（定義未確定）
トレーリング（参考）,参考A strict（押し安値の後に高値更新を要求）: trailが有効になった件数,2/32 (6%),初期STOPより上の水準になった場合のみ有効とみなす
トレーリング（参考）,参考A strict（押し安値の後に高値更新を要求）: 初期STOPより有利な撤退になった件数,2/32 (6%),参考シミュレーション。売買ルールにはしない
トレーリング（参考）,参考A strict（押し安値の後に高値更新を要求）: trail撤退時のリターン中央値,-2.56%,仮想ENTRY価格（翌日始値）基準
トレーリング（参考）,参考B loose（押し安値の確定時点で引き上げ）: trailが有効になった件数,10/32 (31%),初期STOPより上の水準になった場合のみ有効とみなす
トレーリング（参考）,参考B loose（押し安値の確定時点で引き上げ）: 初期STOPより有利な撤退になった件数,9/32 (28%),参考シミュレーション。売買ルールにはしない
トレーリング（参考）,参考B loose（押し安値の確定時点で引き上げ）: trail撤退時のリターン中央値,-2.75%,仮想ENTRY価格（翌日始値）基準
トレーリング（参考）,参考B loose（押し安値の確定時点で引き上げ）: trailと初期STOPが同日で順序不明,3/10 (30%),
参考リターン,初期STOPのみで降りた場合のリターン中央値,-4.55%,利確ルールが無いため、ほぼ全件がSTOPまで持ち切った結果。戦略の成績ではない
分類,TYPE1 上限到達前に初期STOP,9/32 (28%),
分類,TYPE2 上限到達も突破できず,1/32 (3%),
分類,TYPE2b 上限突破したが+3%未満,2/32 (6%),
分類,TYPE3 上限突破 +3〜5%,7/32 (22%),
分類,TYPE4 上限突破 +5%以上,13/32 (41%),
フラグ（TYPE と排他ではない）,TYPE5 翌日始値でレンジ内位置が現行ガード0.65を超えた,15/32 (47%),
フラグ（TYPE と排他ではない）,STOP前に+5%以上の含み益があった,12/32 (38%),
フラグ（TYPE と排他ではない）,初期STOPを寄りで割って約定（スリッページ）,10/32 (31%),
フラグ（TYPE と排他ではない）,保有中の重複ENTRY,2/32 (6%),
フラグ（TYPE と排他ではない）,翌日始値が元レンジ上限超,1/32 (3%),
データ制約,データ終端時点で保有継続中,1/32 (3%),追跡が打ち切られており、その後の展開は不明
