code,theme,is_leader,watch_priority
5803,電線・データセンター,true,A
5801,電線・データセンター,true,A
5802,電線・データセンター,true,A
5805,電線・データセンター,false,A
5816,電線・データセンター,false,B
8035,半導体・生成AI,true,A
6857,半導体・生成AI,true,A
6146,半導体・生成AI,true,A
6920,半導体・生成AI,true,A
7735,半導体・生成AI,false,A
6526,半導体・生成AI,false,A
6525,半導体・生成AI,false,A
6723,半導体・生成AI,false,B
4063,半導体・生成AI,false,B
3436,半導体・生成AI,false,B
200A,半導体・生成AI,false,A
6315,半導体・生成AI,false,B
2644,半導体・生成AI,false,B
9984,AIインフラ・通信,true,A
9434,AIインフラ・通信,true,A
9432,AIインフラ・通信,true,A
6701,AIインフラ・通信,false,A
6701,宇宙・衛星,true,B
6702,AIインフラ・通信,false,A
4689,AIインフラ・通信,false,B
4755,AIインフラ・通信,false,B
3778,AIインフラ・通信,false,C
7011,重工・防衛,true,A
7011,宇宙・衛星,true,B
7013,重工・防衛,true,A
7012,重工・防衛,true,A
6503,重工・防衛,false,B
6503,宇宙・衛星,true,B
6208,重工・防衛,false,C
6203,重工・防衛,false,C
4274,重工・防衛,false,C
7721,重工・防衛,false,B
8306,銀行・金利上昇,true,A
8316,銀行・金利上昇,true,A
8411,銀行・金利上昇,true,A
8308,銀行・金利上昇,false,B
8309,銀行・金利上昇,false,B
7182,銀行・金利上昇,false,B
5838,銀行・金利上昇,false,B
8058,商社・資源,true,A
8031,商社・資源,true,A
8001,商社・資源,true,A
8002,商社・資源,true,A
8053,商社・資源,true,A
8015,商社・資源,false,B
9501,電力・エネルギーインフラ,true,A
9502,電力・エネルギーインフラ,true,A
9503,電力・エネルギーインフラ,true,A
9504,電力・エネルギーインフラ,false,B
9506,電力・エネルギーインフラ,false,B
9508,電力・エネルギーインフラ,false,B
9513,電力・エネルギーインフラ,false,B
9509,電力・エネルギーインフラ,false,B
6981,電子部品・AI端末,true,A
6976,電子部品・AI端末,true,A
6762,電子部品・AI端末,true,A
6594,電子部品・AI端末,false,B
6645,電子部品・AI端末,false,B
6752,電子部品・AI端末,false,B
6770,電子部品・AI端末,false,B
7014,造船・海運,true,B
7003,造船・海運,true,B
7004,造船・海運,true,B
9101,造船・海運,false,B
9104,造船・海運,false,B
9107,造船・海運,false,B
9348,宇宙・衛星,false,B
464A,宇宙・衛星,false,B
5713,非鉄・資源素材,true,B
5706,非鉄・資源素材,true,B
5711,非鉄・資源素材,true,B
5707,非鉄・資源素材,false,C
5714,非鉄・資源素材,false,B
5703,非鉄・資源素材,false,B
5016,非鉄・資源素材,true,B
1801,建設・国土強靭化,true,B
1802,建設・国土強靭化,true,B
1812,建設・国土強靭化,true,B
1803,建設・国土強靭化,true,B
1813,建設・国土強靭化,false,C
1820,建設・国土強靭化,false,B
1860,建設・国土強靭化,false,B
7203,自動車・円安,true,B
7267,自動車・円安,true,B
7201,自動車・円安,false,B
7269,自動車・円安,false,B
7270,自動車・円安,false,B
6902,自動車・円安,false,B
7202,自動車・円安,false,B
6301,機械・設備投資,true,B
6326,機械・設備投資,true,B
6367,機械・設備投資,true,B
6361,機械・設備投資,false,B
6273,機械・設備投資,false,B
6383,機械・設備投資,false,B
6479,機械・設備投資,false,B
