# 4 案の横並び比較。違うのは「warning_low を割ったあとの処理」だけ。最も仮想利益が高い案を採用する、という使い方はしない（§20）。
section,metric,rule_HOLD_UNTIL_STOP,rule_LOW_BREAK,rule_CLOSE_BREAK,rule_STRUCTURAL_BREAK,note
前提（4案で同一）,対象イベント数,32,32,32,32,near.max_position_in_range=0.65 で発生した ENTRY_CANDIDATE。前回と同一
前提（4案で同一）,元レンジ上限を終値突破した件数,22/32 (69%),22/32 (69%),22/32 (69%),22/32 (69%),突破の判定も WARNING 開始条件（VARIANT A）も 4 案で同じ
前提（4案で同一）,最初の警戒足が出た件数,22/32 (69%),22/32 (69%),22/32 (69%),22/32 (69%),最初の警戒足は 4 案で必ず同一。違いはそのあとだけ
前提（4案で同一）,警戒足の総本数,31 本,24 本,26 本,26 本,早く降りる案ほど 2 本目以降の警戒足に到達しないので減る
EXIT の内訳,利確候補（warning_low 割れ）で降りた件数,0/32 (0%),16/32 (50%),13/32 (41%),13/32 (41%),参考基準は定義上 0 件
EXIT の内訳,初期STOPで降りた件数,24/32 (75%),14/32 (44%),14/32 (44%),14/32 (44%),初期STOP = range_lower*0.995。4 案とも同じ水準
EXIT の内訳,trail STOPで降りた件数,7/32 (22%),2/32 (6%),5/32 (16%),5/32 (16%),trail が成立したうえで引き上げ後の STOP に当たった件
EXIT の内訳,追跡終端まで保有継続,1/32 (3%),0/32 (0%),0/32 (0%),0/32 (0%),
EXIT の内訳,保有日数の中央値,7.5 日,6.0 日,6.5 日,6.5 日,仮想ENTRY日を 1 日目とする
§11 STUCK_IN_WARNING,STUCK_IN_WARNING のイベント件数,13/32 (41%),0/32 (0%),5/32 (16%),7/32 (22%),warning_low を日中に割ったのに WARNING に留まった日が 1 日以上あった件。V2/V3 では意図した猶予でもあるので「多い＝悪い」ではない
§11 STUCK_IN_WARNING,滞留した警戒足の本数,19 本,0 本,5 本,7 本,
§11 STUCK_IN_WARNING,WARNING 滞留日数の中央値,3.0 日,－,2.0 日,2.0 日,日中割れの日から WARNING を抜けるまでの営業日数
§11 STUCK_IN_WARNING,WARNING 滞留日数の最大,25 日,－,3 日,3 日,
§11 STUCK_IN_WARNING,割ったまま何も起きず初期STOPまで戻った件数,14/32 (44%),4/32 (12%),4/32 (12%),4/32 (12%),前回いちばん不自然だった形。warning_low を割ったのに降りも上げもしなかった件
§11 STUCK_IN_WARNING,WARNING 中に一度でも +5% 以上の含み益があった件数,13/22 (59%),13/22 (59%),13/22 (59%),13/22 (59%),含み益は 4 案共通の分母（降りない解釈での最大含み益）で測るので値は同じ
§11 STUCK_IN_WARNING,WARNING 中に一度でも +10% 以上の含み益があった件数,6/22 (27%),6/22 (27%),6/22 (27%),6/22 (27%),
§12 利益保持（参考値）,仮想EXIT件数（追跡終端を除く）,31/32 (97%),32/32 (100%),32/32 (100%),32/32 (100%),約定価格は保証されない。母数 32 件なので順位づけには使わない
§12 利益保持（参考値）,仮想リターンの中央値,-3.77%,-2.42%,-2.69%,-2.85%,主分析の約定はトリガー翌営業日の始値（4 案とも同じ約束）
§12 利益保持（参考値）,最大含み益の中央値,+4.29%,+4.18%,+4.29%,+4.29%,その案が実際に保有していた期間内の最大含み益
§12 利益保持（参考値）,EXIT時リターンの中央値（勝ち負け別・勝ち）,+1.93%,+2.89%,+1.93%,+2.18%,
§12 利益保持（参考値）,EXIT時リターンの中央値（勝ち負け別・負け）,-4.84%,-3.24%,-3.26%,-3.28%,
§12 利益保持（参考値）,最大含み益からEXITまでの吐き出し幅（中央値）,9.00pt,5.24pt,6.53pt,6.53pt,最大含み益 − 最終リターン
§12 利益保持（参考値）,+3%以上まで伸びた後に損失EXITとなった件数,14/21 (67%),10/21 (48%),12/21 (57%),12/21 (57%),分母は 4 案共通（降りない解釈での最大含み益）なので件数を直接比べられる
§12 利益保持（参考値）,+5%以上まで伸びた後に損失EXITとなった件数,6/13 (46%),4/13 (31%),4/13 (31%),4/13 (31%),分母は 4 案共通（降りない解釈での最大含み益）なので件数を直接比べられる
§12 利益保持（参考値）,+10%以上まで伸びた後に利益の大半を失った件数,5/6 (83%),5/6 (83%),5/6 (83%),4/6 (67%),「大半＝過半」をそのまま数式にした集計上の定義。売買閾値ではない
§12 利益保持（参考値）,最大含み益+5%以上のケースで残せた割合（中央値）,1%（13件）,10%（13件）,10%（13件）,10%（13件）,最終リターン ÷ 最大含み益。100% なら天井で降りられたということ
§12 利益保持（参考値）,最大含み益+10%以上のケースで残せた割合（中央値）,11%（6件）,18%（6件）,13%（6件）,13%（6件）,最終リターン ÷ 最大含み益。100% なら天井で降りられたということ
§13 EXIT後の伸び,EXIT価格からさらに +3% 以上伸びた件数,－（利確候補で降りない）,6/16 (38%),4/13 (31%),3/13 (23%),分母はその案が利確候補で降りた件数。伸びを測る窓は「降りない解釈でも保有が続いていた期間」に揃えてある
§13 EXIT後の伸び,EXIT価格からさらに +5% 以上伸びた件数,－（利確候補で降りない）,5/16 (31%),4/13 (31%),3/13 (23%),分母はその案が利確候補で降りた件数。伸びを測る窓は「降りない解釈でも保有が続いていた期間」に揃えてある
§13 EXIT後の伸び,EXIT価格からさらに +10% 以上伸びた件数,－（利確候補で降りない）,3/16 (19%),3/13 (23%),2/13 (15%),分母はその案が利確候補で降りた件数。伸びを測る窓は「降りない解釈でも保有が続いていた期間」に揃えてある
§13 EXIT後の伸び,EXIT後の最大上昇率（中央値・EXIT価格比）,－（利確候補で降りない）,+4.90%,+3.02%,+0.26%,厳しすぎる EXIT の副作用を測る主指標
§14 ギャップ,EXITシグナル件数,0 件（利確候補で降りない）,16 件,13 件,13 件,
§14 ギャップ,翌営業日始値がトリガー基準より下だった件数,－,10/16 (62%),5/13 (38%),5/13 (38%),基準は V1 が warning_low、V2/V3 がトリガー日の終値
§14 ギャップ,ギャップ率の中央値,－,-1.00%,+0.00%,+0.42%,
§14 ギャップ,最大の下方ギャップ,－,-3.66%,-4.28%,-4.28%,
§14 ギャップ,翌営業日がなく約定を置けなかった件数,0 件,0 件,0 件,0 件,追跡窓（60営業日）の終端でトリガーした件。終値で代用しているが約定の主張ではない
§14 ギャップ,参考: V1 を warning_low の STOP 注文で約定させた場合の中央値,-1.82%,-1.82%,-1.82%,-1.82%,cases[CASE2] は 4 案とも同じ意味の参考値で、「最初の日中割れを warning_low で降りられた場合」。主分析とは混ぜない
