# 注記: reference_high の決め方だけを 5 案で比較した検証であり、収益バックテストではない。 WARNING 開始条件は VARIANT A、warning_low 割れ後は CLOSE_BREAK（仮想EXITは翌営業日始値）に固定した研究上の基準であって、いずれも正式ルールではない。 ENTRY ロジック / max_position_in_range=0.65 / initial_stop = range_lower*0.995 / warning_low の定義 / 押し安値の取り方 / trail = 押し安値*0.995 / STOP を下げないこと は5 案で完全に同一。新しい%閾値は追加していない。 各案が実際どの程度違うハードルだったか（§15）。母集団は RH-A の警戒足に固定している。
metric,value,count,note
母集団（RH-A の警戒足）,26 件,,5 案の水準はすべて同じ警戒足の当日までの足から決まる
RH-A と RH-B が同じ（警戒陰線自身が保有中最高値を作った）,10/26 (38%),,この場合、RH-B に変えても「警戒足の天井をもう一度抜く」条件は緩まない
RH-B 警戒足高値 が RH-A より低い幅 中央値,-0.46%,16/26 (62%),RH-A を 0 とした差。負なら RH-A より低いハードル
RH-C 前日までの終値高値 が RH-A より低い幅 中央値,-1.36%,23/26 (88%),RH-A を 0 とした差。負なら RH-A より低いハードル
RH-D 警戒足始値 が RH-A より低い幅 中央値,-1.18%,26/26 (100%),RH-A を 0 とした差。負なら RH-A より低いハードル
RH-E 前日までの高値 が RH-A より低い幅 中央値,+0.00%,10/26 (38%),RH-A を 0 とした差。負なら RH-A より低いハードル
5 案の中で最も低かった: RH-A 保有中最高値,0/26 (0%),,
5 案の中で最も低かった: RH-B 警戒足高値,1/26 (4%),,
5 案の中で最も低かった: RH-C 前日までの終値高値,11/26 (42%),,
5 案の中で最も低かった: RH-D 警戒足始値,14/26 (54%),,
5 案の中で最も低かった: RH-E 前日までの高値,0/26 (0%),,
RH-C が RH-B より低い,14/26 (54%),,終値ベースの高値が警戒足の高値より下だったケース
RH-C が RH-D より低い,11/26 (42%),,終値ベースの高値が警戒足の始値より下だったケース
5 案の水準差（最高 − 最低）の ENTRY 比 中央値,2.02%,,案の違いが価格として何%ぶんのハードル差になっているか
