# §8 warning_low 割れの実態。分母は HOLD_UNTIL_STOP（降りない解釈）の警戒足で、V1/V2 は自分がそこで降りるため終値割れ・上限割れを観測できないため。
metric,count,denominator,rate,note
対象の警戒足（WARNING 開始条件は VARIANT A 固定）,31,31,100%,WARNING が発生したイベントは 22 件
warning_low を日中に割った警戒足,29,31,29/31 (94%),EXIT VARIANT 1 のトリガー。ここが 3 案の出発点
warning_low を終値で割った警戒足,26,31,26/31 (84%),EXIT VARIANT 2 のトリガー
日中に割ったが、その日の終値では回復した警戒足,8,29,8/29 (28%),初回の日中割れ当日に close >= warning_low へ戻した。V1 と V2 が最初に分かれる形
日中に割ったが、WARNING でいる間に終値では一度も割らなかった警戒足,3,29,3/29 (10%),V1 は降りるが V2/V3 は最後まで降りない形（§9 の候補）
終値で割ったが、元レンジ上限より上にいた警戒足,5,26,5/26 (19%),V2 は降りるが V3 は降りない形。V2 と V3 が分かれる場所
warning_low と元レンジ上限の両方を終値で割った警戒足,21,31,21/31 (68%),EXIT VARIANT 3 のトリガー
日中割れから終値割れまでの営業日数（中央値）,26,26,0.0 日,0 なら同じ日に日中割れと終値割れ（V1 と V2 の EXIT 日が同じ）
終値割れから上限割れまでの営業日数（中央値）,21,21,0.0 日,0 なら同じ日に成立（V2 と V3 の EXIT 日が同じ）
寄りが既に warning_low 以下だった日中割れ,17,29,17/29 (59%),warning_low での約定は仮定できない（§14）
終値割れと reference_high 再突破が同日だった警戒足,3,31,3/31 (10%),既存の REHIGH ロジックを変更しない制約から再高値更新を優先した件（解釈(e)）
日中割れがあったイベント,22,32,22/32 (69%),イベント単位。分母は仮想ENTRYできた 32 件
終値割れがあったイベント,22,32,22/32 (69%),
上限割れまで行ったイベント,19,32,19/32 (59%),
