# 案ごとの詳細集計。横並びの比較は variant_comparison.csv を見る。
break_rule,break_rule_label,section,metric,value,note
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,INITIAL_HOLD,対象イベント数,32,near.max_position_in_range=0.65 で発生した ENTRY_CANDIDATE。前回と同一
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,INITIAL_HOLD,仮想ENTRYできた件数,32/32 (100%),ENTRY価格はシグナル翌営業日の始値
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,INITIAL_HOLD,上限を終値突破する前にSTOPした件数,10/32 (31%),TREND_HOLD へ到達しなかった件
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,INITIAL_HOLD,元レンジ上限を終値突破した件数（TREND_HOLD到達）,22/32 (69%),
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,INITIAL_HOLD,高値だけ上限を超えたが終値では超えなかった件数,10/32 (31%),状態遷移させていない（§3）
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,上限突破後にWARNINGが発生した件数,22/22 (100%),警戒足の総数 31 本（前回は ENTRY 直後からの全陰線で 175 本）
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,1イベントあたりの警戒足本数（中央値）,1.0 本,
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,上限突破からWARNING発生までの営業日数（中央値）,1 日,最短 1 日 / 最長 4 日
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,WARNING発生時の含み益率（中央値）,+1.00%,最初の警戒足の終値ベース。仮想ENTRY価格基準
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,warning_low を先に割った警戒足,25/31 (81%),
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,reference_high を先に更新した警戒足,3/31 (10%),
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,同日に両方到達で順序不明の警戒足,3/31 (10%),AMBIGUOUS_WARNING_ORDER。CASE2 の EXIT 有無がこの順序に依存する
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,決着前に active_stop へ到達した警戒足,0/31 (0%),
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,追跡終端まで決着しなかった警戒足,0/31 (0%),
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,warning_low を寄りでギャップ割れした警戒足,17/28 (61%),分母は warning_low を割った警戒足。warning_low での約定は仮定できない（§6A）
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,WARNING,警戒足が上限突破の翌営業日に出た件数,14/22 (64%),早すぎる警戒足の目安
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,REHIGH / TRAILING,REHIGH_CONFIRMED が発生した件数,9/32 (28%),再高値更新の総数 12 回
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,REHIGH / TRAILING,trail stop を1回以上引き上げられた件数,8/32 (25%),前回（既存 fractal 利用）は 参考A 2/32 / 参考B 10/32
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,REHIGH / TRAILING,trail stop を2回以上引き上げられた件数,2/32 (6%),
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,REHIGH / TRAILING,初期STOPからの引き上げ幅（中央値）,+7.47%,最大 +10.75%
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,REHIGH / TRAILING,押し安値の確定が既存 fractal より何日早いか（中央値）,-0 日,正なら状態機械の方が早い／負なら fractal の方が早い。最小 -4 日 / 最大 1 日（同じ安値を fractal も認めた 6 件が分母） 比較用で状態機械には使っていない
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,REHIGH / TRAILING,既存 fractal がそもそも押し安値と認めなかった件数,6/12 (50%),状態機械が確定した押し安値のうち、fractal の pivot 条件を満たさないもの
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,REHIGH / TRAILING,同日にSTOP到達と再高値更新で順序不明,0/32 (0%),当日安値が active_stop 以下なら押し安値も同水準以下になるため、どちらの順でも撤退水準は変わらない
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,REHIGH / TRAILING,warning_low を割ったのに WARNING に留まった件数,13/32 (41%),解釈(b) の副作用。CASE3 の構造的な弱点
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE1 初期STOPのみ（前回と同じ）: 仮想EXIT件数,31/32 (97%),残りは追跡終端で保有継続
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE1 初期STOPのみ（前回と同じ）: 仮想リターン中央値,-4.51%,仮想ENTRY価格（翌日始値）基準。約定価格は保証されない
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE1 初期STOPのみ（前回と同じ）: 最大含み益の中央値,+4.29%,
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE1 初期STOPのみ（前回と同じ）: 吐き出し幅の中央値,9.58pt,最大含み益 − 最終リターン
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE1 初期STOPのみ（前回と同じ）: 保有日数の中央値,8 日,
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE1 初期STOPのみ（前回と同じ）: +5%以上まで上昇後に損失,12/32 (38%),
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE1 初期STOPのみ（前回と同じ）: +10%以上から利益の過半を失った,6/32 (19%),「大半＝過半」を数式にしただけの集計定義。売買閾値ではない
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE2 warning_low 下抜けで利確: 仮想EXIT件数,32/32 (100%),残りは追跡終端で保有継続
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE2 warning_low 下抜けで利確: 仮想リターン中央値,-1.82%,仮想ENTRY価格（翌日始値）基準。約定価格は保証されない
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE2 warning_low 下抜けで利確: 最大含み益の中央値,+4.18%,
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE2 warning_low 下抜けで利確: 吐き出し幅の中央値,4.57pt,最大含み益 − 最終リターン
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE2 warning_low 下抜けで利確: 保有日数の中央値,5 日,
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE2 warning_low 下抜けで利確: +5%以上まで上昇後に損失,3/32 (9%),
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE2 warning_low 下抜けで利確: +10%以上から利益の過半を失った,1/32 (3%),「大半＝過半」を数式にしただけの集計定義。売買閾値ではない
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE3 トレーリング（warning_low では降りない）: 仮想EXIT件数,31/32 (97%),残りは追跡終端で保有継続
HOLD_UNTIL_STOP,参考 warning_low では降りない（前回 CASE3 と同じ挙動）,利益保持,CASE3 トレーリング（warning_low では降りない）: 仮想リターン中央値,-3.77%,仮想ENTRY価格（翌日始値）基準。約定価格は保証されない
